anatomy,part of,medicine
clinical sign,facet of,disease
anatomy,practice by,physician
disease,study by,anatomy
structure,study by,macroscopic anatomy
anatomy,study,disease
cell,part of,tissue
macroscopic anatomy,subclass of,anatomy
anatomy,study,structure
macroscopic anatomy,study,structure
structure,study by,anatomy
medicine,have,anatomy
anatomy,have,gross anatomy
oral,have,nasal cavity
anatomy,have,dissection
lingual artery,terminus,tongue
anatomy,use,terminology
gross anatomy,subclass of,study
gross anatomy,part of,anatomy
soft palate,part of,oral
gross anatomy,subclass of,anatomy
dissection,part of,anatomy
physical structure,study by,anatomy
anatomy,study,physical structure
study,have,gross anatomy
terminology,use by,anatomy
blood vessel,part of,heart
systemic approach,study,system of the body
heart,have,blood vessel
bone,part of,thorax
muscle,part of,thorax
nerve,part of,thorax
system of the body,study by,systemic approach
body,have,system
thorax,part of,body
vasculature,part of,thorax
cardiovascular system,have,heart
body,have,region
region,part of,body
cardiovascular system,have,blood vessel
system,part of,body
thorax,instance of,structure
structure,part of,system
toe,part of,anatomical position
anatomical position,part of,body
palm,part of,hand
anatomy,have,cadaver dissection
posterior,opposite of,anterior
foot,part of,body
system,have,structure
cadaver dissection,part of,anatomy
surface,part of,body
glenohumeral joint,connect with,elbow joint
elbow joint,connect with,glenohumeral joint
rostral,part of,head
reduce in energy,say,attenuate
superficial fascia,part of,skin
attenuate,say,reduce in energy
deep structure,have,layer
attenuate,subclass of,reduce in energy
tissue,part of,body
bone,different from,fat
radiographic exposure,discoverer,wilhelm roentgen
layer,part of,deep structure
fat,different from,bone
viscera,part of,deep structure
fascia,part of,skin
deep fascia,connect with,superficial region
body,have,tissue
skin,have,fascia
wilhelm roentgen,work,radiographic exposure
superficial region,connect with,deep fascia
bowel,have,luman
luman,part of,bowel
develop,produce,photographic film
photographic film,subclass of,develop
insoluble,subclass of,salt
gastrointestinal tract,have,bowel luman
x ray,have,air
bowel luman,part of,gastrointestinal tract
ureter,part of,urinary system
vein,connect with,artery
urinary system,have,bladder
artery,connect with,vein
kidney,part of,urinary system
bladder,part of,urinary system
excrete,part of,urinary system
vein,part of,circulation
