protein,have,amino acid
collagen,instance of,protein
protein,subclass of,macromolecule
protein,subclass of,molecule
albumin,instance of,protein
hemoglobin,instance of,protein
hydrogen bond,subclass of,chemical reaction
amino acid,have,side chain
side chain,part of,amino acid
nonstandard amino acid,subclass of,amino acid
protein,have,amino acid
peptide,have,amino acid
proline,subclass of,amino acid
protein,have,amino group
ph,facet of,physiologic
lipid,have,hydrophobic
oil,part of,aqueous
side chain,part of,amino acid
hydrophobic,have,lipid
protein,have,amino acid
protein,part of,three dimensional
hydrophobic interaction,part of,protein structure
hydrophobicity,part of,aqueous
globular protein,have,alpha helix
alpha helix,part of,globular protein
asparagine,instance of,carbonyl group
imino acid,have,imino
hemoglobin a,have,beta subunit
beta subunit,part of,hemoglobin a
ph,facet of,physiologic
amino acid,have,alpha carbon
protein,have,amino acid
glycine,have,alpha carbon
bacteria,have,cell wall
basic,have,acidic
amino acid,have,side chain
acid,have,basis
amino acid,have,alpha amino
acid,have,proton acceptor
basis,have,proton acceptor
henderson hasselbalch equation,have,ph
weak acid,have,conjugate base
carboxylate,have,h
alanine,have,alpha amino group
henderson hasselbalch equation,have,dissociation constant
acetic acid,instance of,carboxyl group
cooh,have,h
i,part of,ph
disease,have,variation in the mobility pattern
charge,part of,electric field
electric field,have,charge
dipolar form ii,subclass of,ionize
negative,subclass of,charge
isoelectric point,facet of,ph
alanine,instance of,amino acid
basic,subclass of,drug
lysine,instance of,amino acid
aspartate,instance of,amino acid
arginine,instance of,amino acid
ph,facet of,physiologic
basic drug,have,base
henderson hasselbalch equation,facet of,ph
acidic drug,have,h
distraction,subclass of,detail
size,facet of,importance
ph,facet of,physiologic
outline,different from,flow chart
flow chart,different from,outline
cross link,part of,concept map
weak acid,subclass of,conjugate base
a,follow by,d
choose the one good answer,say,one good answer
amino acid,have,c
one good answer,say,choose the one good answer
glycine,subclass of,amino acid
pk,facet of,carboxyl group
amino acid,have,alpha carbon
weak acid,have,conjugate base
protein,have,amino acid
point b,instance of,buffering
amino acid,have,deprotonate
d,follow,a
peptide,have,amino acid
conjugate base,part of,weak acid
pka,part of,ph
ph,have,pka
nonpolar,subclass of,amino acid
aspartate,have,phosphate
aspirin,have,metabolic acidosis
lysine,instance of,amino acid
disulfide bond,part of,peptide
