klonopin,subclass of,benzodiazepine
ambien,subclass of,nonopioid
joint pain,drug,aspirin
arterial blood,connect with,venous
arterial blood,part of,circulation
parasite,have,infect
iv,subclass of,intravenous
iv,subclass of,administer
aspirin,treat,overdose
venous,part of,circulation
aspirin,treat,joint pain
substance,study by,pharmacology
bind,subclass of,interaction
iv,use,intravenous
aspirin,subclass of,tablet
circulation,have,arterial blood
sodium bicarbonate,instance of,bicarbonate
pharmacology,study,substance
venous,connect with,arterial blood
chemical,study by,pharmacodynamic
pharmacodynamic,study,chemical
chemical,study by,toxicology
large domain,subclass of,action of chemical
chemical,study by,pharmacology
development of new drug,study by,pharmacology
pharmacology,study,drug
pharmacology,study,chemical
pharmacodynamic,have,environmental toxicology
toxicology,subclass of,pharmacology
drug,study by,pharmacokinetic
toxicology,study,drug
toxicology,study,chemical
regulation,part of,development of new drug
pharmacokinetic,study,drug
drug,study by,toxicology
medical pharmacology,instance of,science
pharmacokinetic,part of,pharmacodynamic
toxicology,part of,pharmacology
development of new drug,have,regulation
disease,study by,medicine
school,subclass of,system of thought
school,subclass of,system of thought
remedy,subclass of,drug
blood,have,disease
clinical medicine,practice by,physician
mechanism of action,facet of,drug
pharmacology,follow,materia medica
pharmacology,study,medicine
medicine,study by,pharmacology
control clinical trial,subclass of,rational therapeutic
claude bernard,student of,françois magendie
françois magendie,student,claude bernard
medicine,study by,pharmacology
pharmacology,study,medicine
organ,have,tissue
biologic substrate,subclass of,drug
drug receptor,subclass of,biologic substrate
molecular mechanism of action,facet of,drug
biologic,part of,biology
molecular mechanism of action,part of,molecular environment
herbal supplement,subclass of,medical therapy
randomize control trial,subclass of,test
statistic,part of,biology
herbal supplement,subclass of,botanical
physical nature of drug,facet of,drug
site of action,different from,site of administration
orally,subclass of,site of action
nitrous oxide,have,gaseous
route of administration,facet of,administration
site of administration,different from,site of action
molecule,have,atomic composition
pill,use,orally
rna,have,oligonucleotide
lithium,instance of,inorganic element
iron,instance of,inorganic element
drug,subclass of,molecule
molecule,have,bind
site of action,different from,site of administration
molecular weight,facet of,drug
specificity of action,subclass of,requirement
protein,subclass of,drug
site of administration,different from,site of action
specificity of action,facet of,drug
permeation,subclass of,diffuse
bond,have,chemical force
acetylsalicylic acid,have,acetyl
electrostatic,subclass of,bond
acetylsalicylic acid,instance of,covalent bond
very strong bond,opposite of,weak bond
xenon,have,inert ' gas
weak bond,opposite of,strong bond
weak bond,opposite of,very strong bond
receptor,part of,drug
drug,have,receptor
covalent bond,subclass of,bond
strong bond,opposite of,weak bond
pharmacologic,subclass of,chemical sense
ephedrine,have,sympathomimetic
bond,part of,molecule
enantiomer,subclass of,chirality
receptor,subclass of,molecule
enantiomer,subclass of,molecule
molecule,have,bond
stereoselective,facet of,transporter
carvedilol,instance of,drug
racemate,part of,racemic mixture
alpha receptor blocker,subclass of,equipotent
saturation,subclass of,concentration
racemic mixture,subclass of,drug
carvedilol,study by,pharmacology
affinity,study by,pharmacology
enantiomer,opposite of,racemic
enantiomer,opposite of,racemic
racemic,subclass of,isomer
racemic,subclass of,active isomer
modification,subclass of,drug
rational drug design,facet of,receptor structure
iteratively optimize,subclass of,computer program
molecular design,subclass of,development
racemic,have,enantiomer
molecular structure,facet of,drug
receptor,use,drug design
more rational method of name receptor,facet of,name receptor
pharmacokinetic process,part of,pharmacokinetic process govern the absorption distribution and elimination of drug
pharmacokinetic process govern the absorption distribution and elimination of drug,have,pharmacokinetic process
pharmacokinetic,part of,pharmacodynamic
pharmacodynamic,have,pharmacokinetic
disease,have,symptom
agonist,use,ligand
constitutive activity,subclass of,physiologic effect
couple molecule,part of,couple system
ra configuration,use by,agonist
couple system,have,couple molecule
figure 1 3,depict,drug receptor interaction
ra,part of,receptor pool
intrinsic efficacy,different from,affinity
intrinsic efficacy,subclass of,drug
affinity,different from,intrinsic efficacy
full agonist,subclass of,agonist drug
receptor pool,part of,receptor effector system
partial agonist,subclass of,agonist
full agonist,subclass of,drug
pindolol,have,beta adrenoceptor partial agonist
partial agonist,subclass of,drug
interact with receptor,subclass of,drug
inhibitor,subclass of,drug
antagonist,subclass of,action
neutral antagonism,subclass of,block action
bind affinity,facet of,agonist
neutral antagonism,subclass of,antagonist
agonist,opposite of,antagonist
ra,have,ri
dose response curve,instance of,diagram
interaction,facet of,drug
termination of drug action,subclass of,process
